2767.516, 1029.179, 52.0, 0.0, 1296.005, 1295.975, 3202.725, 3202.695, -4.19993, -0.81727, 0.029785, -340.728, -340.727, 658.4986, 658.51, 0.031975, 0.205411, -0.0014, 6.463677, 6.469948, 193.7277, 193.7277, -0.14865, -0.31529, -0.00627, 0.0, 0.150305, 10.0, 0.127319, 0.107323, 0.107323, 0.019262, 0.127319, 0.0, 2000.0, 2002.568, 2002.568, 2002.568, -0.23564, -8.19425, -8.19425, -8.19425, 0.184589, 0.184589, 1.85e-06, -1.25793, -0.26635, 0.230104, -7.94772, 0.0, 6.956729, 0.0, 7.052281, 0.0, -9.04327, 0.0, -1.13104, 0.0, 0.0, 0.0, 947.4843, 0.0, -1243.52, 0.0, 9.800054, 0.0, -1.13104, 0.0, 3.368958, 0.0, 193.855, 193.855
1902.344, 1031.507, 52.0, 0.0, 1294.109, 1294.075, 3200.829, 3200.745, -0.6791, -0.59646, 0.033691, -340.383, -340.366, 658.843, 658.86, 0.051461, 0.143785, -0.01697, 5.77079, 5.775353, 193.0348, 193.0348, 0.253772, -0.2356, -0.00456, 0.0, 0.501765, 10.0, 0.4552, 0.164798, 0.164798, 0.051127, 0.4552, 0.0, 2000.0, 2013.949, 2013.949, 2013.949, -0.1977, -6.68765, -6.68765, -6.68765, 0.184969, 0.184969, 1.85e-06, -1.12539, 0.014881, 0.224808, -7.98878, 0.0, 7.930793, 0.0, 7.011217, 0.0, -8.06921, 0.0, -1.45064, 0.0, 0.0, 0.0, 1812.656, 0.0, -378.344, 0.0, 9.773038, 0.0, -1.45064, 0.0, 3.049362, 0.0, 193.49, 193.49
1172.205, 1033.166, 52.0, 0.0, 1292.816, 1292.765, 3199.535, 3199.485, 2.401698, -0.37167, 0.050537, -340.148, -340.126, 659.0779, 659.1001, 0.015213, 0.087204, -0.02216, 5.298195, 5.301033, 192.5622, 192.5622, -0.12796, -0.1572, -0.00284, 0.0, 0.91833, 10.0, 0.862808, 0.193298, 0.193298, 0.05836, 0.862808, 0.0, 2000.0, 2009.396, 2009.396, 2009.396, 0.014103, -7.11811, -7.11811, -7.11811, 0.184589, 0.184589, 1.85e-06, 0.341041, -0.05193, 0.13493, -8.00381, 0.0, 8.969146, 0.0, 6.996187, 0.0, -7.03085, 0.0, -1.85997, 0.0, 0.0, 0.0, 2542.796, 0.0, 351.7954, 0.0, 9.797352, 0.0, -1.85997, 0.0, 2.64003, 0.0, 193.425, 193.425
627.5664, 1034.174, 52.0, 0.0, 1292.125, 1292.035, 3198.845, 3198.755, 2.250311, -0.14085, 0.090088, -340.023, -340.006, 659.2033, 659.22, -0.03294, 0.035857, -0.01672, 5.045875, 5.047005, 192.3099, 192.3099, -0.19394, -0.07898, -0.00113, 0.0, 1.399999, 10.0, 1.340118, 0.225036, 0.225036, 0.066015, 1.340118, 0.0, 2000.0, 1995.929, 1995.929, 1995.929, 0.039394, -7.04636, -7.04636, -7.04636, 0.183829, 0.183829, 1.84e-06, 1.358919, -0.06867, 0.06464, -7.99054, 0.0, 9.449892, 0.0, 7.009463, 0.0, -6.55011, 0.0, -2.33398, 0.0, 0.0, 0.0, 3087.434, 0.0, 896.4336, 0.0, 9.881078, 0.0, -2.33398, 0.0, 2.166016, 0.0, 193.65, 193.65
230.7734, 1034.537, 54.0, 0.0, 1292.0, 1291.831, 3198.72, 3198.56, -1.18943, 0.034123, 0.169434, -339.966, -339.981, 659.2605, 659.245, -0.22385, 0.09342, 0.015503, 4.982796, 4.983574, 192.2468, 192.2468, 0.176525, -0.01239, -0.00078, 0.0, 1.946773, 10.0, 1.923203, 0.224697, 0.224697, 0.034358, 1.923203, 0.0, 2000.0, 2005.034, 2005.034, 2005.034, 0.058361, -8.05077, -8.05077, -8.05077, 0.194846, 0.194846, 1.95e-06, 0.827475, -0.03326, 0.041472, -7.9748, 0.0, 9.337237, 0.0, 7.025197, 0.0, -6.66276, 0.0, -2.91241, 0.0, 0.0, 0.0, 3484.226, 0.0, 1293.227, 0.0, 9.93714, 0.0, -2.91241, 0.0, 1.587586, 0.0, 194.17, 194.17
539.0264, 1034.822, 54.0, 0.0, 1292.0, 1291.845, 3198.72, 3198.565, -3.30712, 0.033132, 0.154541, -339.474, -339.531, 659.7518, 659.695, -0.24288, 0.400295, 0.056824, 4.737129, 4.740181, 192.0011, 192.0011, 0.309199, -0.10003, -0.00305, 0.0, 2.540177, 10.0, 2.583862, 0.155794, 0.155794, -0.04063, 2.583862, 0.0, 2000.0, 2003.706, 2003.706, 2003.706, 0.064682, -7.90728, -7.90728, -7.90728, 0.188008, 0.188008, 1.88e-06, 0.729641, 0.000397, -0.03392, -7.84325, 0.0, 8.210694, 0.0, 7.156746, 0.0, -7.78931, 0.0, -3.58081, 0.0, 0.0, 0.0, 3175.974, 0.0, 984.9736, 0.0, 9.978607, 0.0, -3.58081, 0.0, 0.919189, 0.0, 194.59, 194.59
1202.677, 1035.759, 54.0, 0.0, 1292.0, 1291.901, 3198.719, 3198.62, -2.12764, 0.023268, 0.099365, -338.401, -338.491, 660.8254, 660.755, -0.3642, 0.703923, 0.090454, 4.200325, 4.205635, 191.4643, 191.4643, 0.321563, -0.20484, -0.00531, 0.0, 3.082695, 10.0, 3.135666, 0.124498, 0.124498, -0.04766, 3.135666, 0.0, 2000.0, 1995.739, 1995.739, 1995.739, 0.042553, -9.12692, -9.12692, -9.12692, 0.205863, 0.205863, 2.06e-06, 0.57334, 0.179197, 0.009015, -7.69461, 0.0, 7.397702, 0.0, 7.305385, 0.0, -8.6023, 0.0, -4.13036, 0.0, 0.0, 0.0, 2512.323, 0.0, 321.323, 0.0, 10.02436, 0.0, -4.13036, 0.0, 0.369644, 0.0, 194.6, 194.6
1834.055, 1037.348, 54.0, 0.0, 1292.0, 1291.966, 3198.719, 3198.68, -0.06841, 0.011094, 0.03418, -336.745, -336.836, 662.4814, 662.42, -0.44824, 0.99157, 0.09137, 3.372353, 3.379951, 190.6364, 190.6364, 0.33353, -0.30815, -0.0076, 0.0, 3.560109, 10.0, 3.618637, 0.096127, 0.096127, -0.05093, 3.618637, 0.0, 2000.0, 1997.257, 1997.257, 1997.257, -0.125, -7.90728, -7.90728, -7.90728, 0.211181, 0.211181, 2.11e-06, -0.03042, 0.270274, 0.162264, -7.62211, 0.0, 7.738082, 0.0, 7.377888, 0.0, -8.26192, 0.0, -4.61104, 0.0, 0.0, 0.0, 1880.945, 0.0, -310.055, 0.0, 9.954144, 0.0, -4.61104, 0.0, -0.11104, 0.0, 194.245, 194.245
2462.301, 1039.588, 54.0, 0.0, 1292.0, 1291.991, 3198.718, 3198.71, 0.697298, 0.006549, 0.008545, -334.53, -334.586, 664.6964, 664.64, -0.40179, 1.185145, 0.056396, 2.264839, 2.273827, 189.5288, 189.5288, 0.321766, -0.40855, -0.00899, 0.0, 3.97242, 10.0, 4.016159, 0.081159, 0.081159, -0.03976, 4.016159, 0.0, 2000.0, 2012.431, 2012.431, 2012.431, -0.20087, -6.83113, -6.83113, -6.83113, 0.172812, 0.172812, 1.73e-06, 0.233928, 0.203359, 0.22118, -7.57042, 0.0, 8.090507, 0.0, 7.429579, 0.0, -7.90949, 0.0, -5.01218, 0.0, 0.0, 0.0, 1252.699, 0.0, -938.301, 0.0, 9.831765, 0.0, -5.01218, 0.0, -0.51218, 0.0, 193.535, 193.535
2181.441, 1042.063, 54.0, 0.0, 1292.0, 1291.997, 3198.718, 3198.715, 0.775088, 0.006001, 0.003418, -332.524, -332.496, 666.7021, 666.755, -0.1776, 0.856291, -0.02789, 1.262016, 1.268715, 188.526, 188.526, 0.042403, -0.34479, -0.0067, 0.0, 4.319625, 10.0, 4.273987, 0.135501, 0.135501, 0.047348, 4.273987, 0.0, 2000.0, 2010.914, 2010.914, 2010.914, -0.08074, -6.6159, -6.6159, -6.6159, 0.158756, 0.158756, 1.59e-06, 0.527552, 0.078022, 0.263767, -7.81638, 0.0, 8.18446, 0.0, 7.18362, 0.0, -7.81554, 0.0, -5.27228, 0.0, 0.0, 0.0, 1533.559, 0.0, -657.441, 0.0, 9.77136, 0.0, -5.27228, 0.0, -0.77228, 0.0, 192.795, 192.795
1481.041, 1043.921, 54.0, 0.0, 1292.0, 1291.997, 3198.718, 3198.715, 0.380159, 0.006218, 0.003174, -331.101, -331.031, 668.1255, 668.21, -0.16808, 0.548725, -0.06958, 0.550331, 0.554771, 187.8143, 187.8143, 0.065655, -0.23856, -0.00444, 0.0, 4.601727, 10.0, 4.550659, 0.121954, 0.121954, 0.055509, 4.550659, 0.0, 2000.0, 2010.345, 2010.345, 2010.345, 0.042553, -6.6159, -6.6159, -6.6159, 0.151918, 0.151918, 1.52e-06, 0.227021, -0.02421, 0.233267, -8.08256, 0.0, 8.163773, 0.0, 6.917444, 0.0, -7.83623, 0.0, -5.54622, 0.0, 0.0, 0.0, 2233.959, 0.0, 42.95883, 0.0, 9.743125, 0.0, -5.54622, 0.0, -1.04622, 0.0, 192.36, 192.36
839.8504, 1045.123, 54.0, 0.0, 1292.0, 1291.997, 3198.718, 3198.715, 0.02581, 0.006301, 0.00293, -330.26, -330.176, 668.9665, 669.05, -0.17314, 0.254561, -0.0835, 0.129814, 0.131981, 187.3938, 187.3938, 0.078623, -0.13531, -0.00217, 0.0, 4.818725, 10.0, 4.761185, 0.099869, 0.099869, 0.054718, 4.761185, 0.0, 2000.0, 2001.809, 2001.809, 2001.809, 0.03307, -6.1137, -6.1137, -6.1137, 0.187248, 0.187248, 1.87e-06, -0.14904, -0.07155, 0.092353, -8.06553, 0.0, 8.117725, 0.0, 6.934474, 0.0, -7.88227, 0.0, -5.76401, 0.0, 0.0, 0.0, 2875.15, 0.0, 684.1496, 0.0, 9.803593, 0.0, -5.76401, 0.0, -1.26401, 0.0, 192.155, 192.155
212.3904, 1045.675, 55.0, 0.0, 1292.0, 1292.002, 3198.718, 3198.72, -0.12909, 0.005332, -0.0022, -330.0, -329.916, 669.2261, 669.31, -0.11927, -0.03041, -0.08386, 7.63e-06, 7.63e-06, 187.264, 187.264, -0.1086, -0.03192, 0.0, 0.0, 4.900889, 20.0, 4.910995, -0.02035, -0.02035, -0.0051, 4.910995, 0.0, 2000.0, 2011.293, 2011.293, 2011.293, 0.001457, -7.18985, -7.18985, -7.18985, 0.187628, 0.187628, 1.88e-06, -0.1182, -0.07459, 0.089489, -8.02234, 0.0, 8.117008, 0.0, 6.977662, 0.0, -7.88299, 0.0, -5.90599, 0.0, 0.0, 0.0, 3502.61, 0.0, 1311.609, 0.0, 19.90421, 0.0, -5.90599, 0.0, -1.40599, 0.0, 192.175, 192.175
-12.7643, 1045.717, 55.0, 0.0, 1292.0, 1292.022, 3198.718, 3198.745, -0.01469, 0.000859, -0.02222, -330.0, -329.966, 669.2261, 669.26, -0.02454, -0.01148, -0.03387, 7.63e-06, 7.63e-06, 187.264, 187.264, 0.792661, 0.001959, 0.0, 0.0, 4.864776, 20.0, 4.865982, -0.03274, -0.03274, -0.00121, 4.865982, 0.0, 2000.0, 1996.119, 1996.119, 1996.119, 0.058361, -8.05077, -8.05077, -8.05077, 0.187628, 0.187628, 1.88e-06, 0.001077, -0.11076, 0.131278, -7.96389, 0.0, 8.110226, 0.0, 7.036105, 0.0, -7.88977, 0.0, -5.86598, 0.0, 0.0, 0.0, 3727.764, 0.0, 1536.764, 0.0, 19.89979, 0.0, -5.86598, 0.0, -1.36598, 0.0, 192.13, 192.13
0.66183, 1045.714, 55.0, 0.0, 1292.0, 1292.002, 3198.718, 3198.72, 0.100862, 0.00464, -0.0022, -330.0, -329.981, 669.2261, 669.245, -0.07689, -0.00459, -0.01886, 7.63e-06, 7.63e-06, 187.264, 187.264, -0.0849, -0.0001, 0.0, 0.0, 4.763559, 20.0, 4.755982, -0.0552, -0.0552, 0.007578, 4.755982, 0.0, 2000.0, 1998.585, 1998.585, 1998.585, -0.10919, -6.25719, -6.25719, -6.25719, 0.17927, 0.17927, 1.79e-06, 0.008905, -0.15171, 0.121248, -7.93014, 0.0, 8.05184, 0.0, 7.069855, 0.0, -7.94816, 0.0, -5.75598, 0.0, 0.0, 0.0, 3714.338, 0.0, 1523.338, 0.0, 19.87565, 0.0, -5.75598, 0.0, -1.25598, 0.0, 192.02, 192.02
-0.02753, 1045.714, 55.0, 0.0, 1292.0, 1291.997, 3198.718, 3198.715, 0.055009, 0.005687, 0.00293, -330.0, -329.996, 669.2261, 669.23, -0.08506, 0.002617, -0.00385, 7.63e-06, 7.63e-06, 187.264, 187.264, 0.011881, 4.53e-06, 0.0, 0.0, 4.597239, 20.0, 4.595993, -0.08396, -0.08396, 0.001245, 4.595993, 0.0, 2000.0, 2013.569, 2013.569, 2013.569, -0.21351, -6.32893, -6.32893, -6.32893, 0.182309, 0.182309, 1.82e-06, 0.03784, -0.10047, 0.173876, -7.94626, 0.0, 8.01551, 0.0, 7.05374, 0.0, -7.98449, 0.0, -5.59599, 0.0, 0.0, 0.0, 3715.028, 0.0, 1524.028, 0.0, 19.8666, 0.0, -5.59599, 0.0, -1.09599, 0.0, 191.855, 191.855
0.000638, 1045.714, 55.0, 0.0, 1292.0, 1291.997, 3198.718, 3198.71, -0.03862, 0.005754, 0.00293, -330.0, -329.996, 669.2261, 669.23, -0.03689, 0.00251, -0.00385, 7.63e-06, 7.63e-06, 187.264, 187.264, 0.47411, -1.2e-07, 0.0, 0.0, 4.389415, 20.0, 4.385986, -0.08598, -0.08598, -0.00158, 4.385986, 0.0, 2000.0, 2013.759, 2013.759, 2013.759, -0.21035, -7.11811, -7.11811, -7.11811, 0.186108, 0.186108, 1.86e-06, -0.00701, -0.03438, 0.219621, -7.94853, 0.0, 8.027865, 0.0, 7.05147, 0.0, -7.97213, 0.0, -5.39099, 0.0, 0.0, 0.0, 3715.0, 0.0, 1523.999, 0.0, 19.81716, 0.0, -5.39099, 0.0, -0.89099, 0.0, 191.65, 191.65
3.24e-05, 1045.714, 55.0, 0.0, 1292.0, 1292.002, 3198.718, 3198.72, 0.073018, 0.004777, -0.0022, -330.0, -330.001, 669.2261, 669.225, -0.07521, 0.004935, 0.001099, 7.63e-06, 7.63e-06, 187.264, 187.264, 1.035829, -3.2e-09, 0.0, 0.0, 4.180873, 20.0, 4.180984, -0.08179, -0.08179, -0.00011, 4.180984, 0.0, 2000.0, 1999.723, 1999.723, 1999.723, 0.067844, -8.05077, -8.05077, -8.05077, 0.202444, 0.202444, 2.02e-06, -0.06924, -0.00849, 0.204304, -7.979, 0.0, 8.035302, 0.0, 7.021002, 0.0, -7.9647, 0.0, -5.18098, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 19.78746, 0.0, -5.18098, 0.0, -0.68098, 0.0, 191.445, 191.445
-6.2e-06, 1045.714, 55.0, 0.0, 1292.0, 1291.997, 3198.718, 3198.715, -0.13745, 0.005805, 0.00293, -330.0, -330.006, 669.2261, 669.22, -0.29339, 0.007494, 0.006104, 7.63e-06, 7.63e-06, 187.264, 187.264, 2.052062, 8.51e-10, 0.0, 0.0, 3.972332, 20.0, 3.975983, -0.08824, -0.08824, -0.00866, 3.975983, 0.0, 2000.0, 1998.016, 1998.016, 1998.016, -0.0997, -6.97462, -6.97462, -6.97462, 0.255249, 0.255249, 2.55e-06, -0.03619, 0.037223, 0.295871, -7.95539, 0.0, 8.026309, 0.0, 7.044609, 0.0, -7.97369, 0.0, -4.98099, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 19.78139, 0.0, -4.98099, 0.0, -0.48099, 0.0, 191.24, 191.24
6.00e-07, 1045.714, 55.0, 0.0, 1292.0, 1291.997, 3198.718, 3198.715, -0.13531, 0.005823, 0.00293, -330.0, -330.001, 669.2261, 669.225, -0.2051, 0.005051, 0.001099, 7.63e-06, 7.63e-06, 187.264, 187.264, 2.973905, -8.7e-11, 0.0, 0.0, 3.76379, 20.0, 3.770981, -0.08743, -0.08743, -0.00719, 3.770981, 0.0, 2000.0, 2010.345, 2010.345, 2010.345, 0.010941, -4.75058, -4.75058, -4.75058, 0.332748, 0.332748, 3.33e-06, -0.02589, 0.040076, 0.890001, -7.88785, 0.0, 8.0451, 0.0, 7.112148, 0.0, -7.9549, 0.0, -4.77098, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 19.57379, 0.0, -4.77098, 0.0, -0.27098, 0.0, 191.03, 191.03
-4.6e-08, 1045.714, 55.0, 0.0, 1292.0, 1292.002, 3198.718, 3198.72, -0.0883, 0.004812, -0.0022, -330.0, -330.001, 669.2261, 669.225, -0.15714, 0.005087, 0.001099, 7.63e-06, 7.63e-06, 187.264, 187.264, 3.22773, 6.77e-12, 0.0, 0.0, 3.555248, 20.0, 3.555984, -0.08471, -0.08471, -0.00074, 3.555984, 0.0, 2000.0, 1995.549, 1995.549, 1995.549, 0.026745, -5.03755, -5.03755, -5.03755, 0.428482, 0.428482, 4.28e-06, -0.09872, 0.046063, 1.899001, -7.87196, 0.0, 8.081928, 0.0, 7.128041, 0.0, -7.91807, 0.0, -4.55598, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 18.89099, 0.0, -4.55598, 0.0, -0.05598, 0.0, 190.82, 190.82
2.98e-09, 1045.714, 55.0, 0.0, 1292.0, 1291.997, 3198.718, 3198.715, -0.07925, 0.005818, 0.00293, -330.0, -329.996, 669.2261, 669.23, 0.01466, 0.002624, -0.00385, 7.63e-06, 7.63e-06, 187.264, 187.264, 3.339894, -4.5e-13, 0.0, 0.0, 3.346706, 20.0, 3.345993, -0.08517, -0.08517, 0.000713, 3.345993, 0.0, 2000.0, 1998.774, 1998.774, 1998.774, 0.03307, -4.67883, -4.67883, -4.67883, 0.487746, 0.487746, 4.88e-06, -0.12056, 0.094099, 2.724308, -7.87445, 0.0, 8.094393, 0.0, 7.125551, 0.0, -7.90561, 0.0, -4.34599, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 17.9385, 0.0, -4.34599, 0.0, 0.154007, 0.0, 190.605, 190.605
-1.7e-10, 1045.714, 55.0, 0.0, 1292.0, 1292.002, 3198.718, 3198.72, -0.09915, 0.004775, -0.0022, -330.0, -329.996, 669.2261, 669.23, 0.036549, 0.002625, -0.00385, 7.63e-06, 7.63e-06, 187.264, 187.264, 3.417186, 2.63e-14, 0.0, 0.0, 3.138165, 20.0, 3.135986, -0.08479, -0.08479, 0.002178, 3.135986, 0.0, 2000.0, 2013.569, 2013.569, 2013.569, -0.20087, -5.03755, -5.03755, -5.03755, 0.549289, 0.549289, 5.49e-06, -0.12106, 0.105272, 3.102832, -7.88471, 0.0, 8.094319, 0.0, 7.115294, 0.0, -7.90568, 0.0, -4.13599, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 17.2173, 0.0, -4.13599, 0.0, 0.364014, 0.0, 190.4, 190.4
8.24e-12, 1045.714, 55.0, 0.0, 1292.0, 1292.002, 3198.718, 3198.72, -0.08399, 0.004746, -0.0022, -330.0, -330.001, 669.2261, 669.225, -0.07777, 0.005115, 0.001099, 7.63e-06, 7.63e-06, 187.264, 187.264, 3.443143, -1.3e-15, 0.0, 0.0, 2.929623, 20.0, 2.925995, -0.08423, -0.08423, 0.003628, 2.925995, 0.0, 2000.0, 2011.862, 2011.862, 2011.862, -0.13132, -5.25278, -5.25278, -5.25278, 0.660219, 0.660219, 6.60e-06, -0.1271, 0.088743, 3.302382, -7.89245, 0.0, 8.094727, 0.0, 7.107548, 0.0, -7.90527, 0.0, -3.92599, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 16.8653, 0.0, -3.92599, 0.0, 0.574005, 0.0, 190.19, 190.19
-3.0e-13, 1045.714, 55.0, 0.0, 1292.0, 1292.002, 3198.718, 3198.72, -0.05703, 0.004704, -0.0022, -330.0, -330.006, 669.2261, 669.22, -0.18161, 0.007647, 0.006104, 7.63e-06, 7.63e-06, 187.264, 187.264, 3.613627, 5.07e-17, 0.0, 0.0, 2.721081, 20.0, 2.715988, -0.08251, -0.08251, 0.005093, 2.715988, 0.0, 2000.0, 2005.413, 2005.413, 2005.413, 0.055202, -5.6115, -5.6115, -5.6115, 0.612352, 0.612352, 6.12e-06, -0.12212, 0.094549, 3.473517, -7.8941, 0.0, 8.083286, 0.0, 7.105898, 0.0, -7.91671, 0.0, -3.71599, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 16.66389, 0.0, -3.71599, 0.0, 0.784012, 0.0, 189.98, 189.98
2.84e-15, 1045.714, 55.0, 0.0, 1292.0, 1292.002, 3198.718, 3198.72, 0.016187, 0.004593, -0.0022, -330.0, -330.006, 669.2261, 669.22, -0.30889, 0.007675, 0.006104, 7.63e-06, 7.63e-06, 187.264, 187.264, 3.941825, -8.1e-19, 0.0, 0.0, 2.51254, 20.0, 2.510986, -0.08438, -0.08438, 0.001554, 2.510986, 0.0, 2000.0, 1998.395, 1998.395, 1998.395, 0.001457, -4.32012, -4.32012, -4.32012, 0.627548, 0.627548, 6.28e-06, -0.10756, 0.09536, 3.579704, -7.89072, 0.0, 8.061531, 0.0, 7.109283, 0.0, -7.93847, 0.0, -3.51099, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 16.50955, 0.0, -3.51099, 0.0, 0.989014, 0.0, 189.77, 189.77
8.27e-16, 1045.714, 55.0, 0.0, 1292.0, 1292.002, 3198.718, 3198.72, 0.039258, 0.004535, -0.0022, -330.0, -330.006, 669.2261, 669.22, -0.41613, 0.007701, 0.006104, 7.63e-06, 7.63e-06, 187.264, 187.264, 4.272265, -1.0e-19, 0.0, 0.0, 2.303998, 20.0, 2.300995, -0.08249, -0.08249, 0.003003, 2.300995, 0.0, 2000.0, 2003.706, 2003.706, 2003.706, -0.17874, -3.81791, -3.81791, -3.81791, 0.643883, 0.643883, 6.44e-06, -0.10306, 0.066832, 3.714499, -7.88399, 0.0, 8.036757, 0.0, 7.116007, 0.0, -7.96324, 0.0, -3.30099, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 16.39475, 0.0, -3.30099, 0.0, 1.199005, 0.0, 189.565, 189.565
-1.1e-16, 1045.714, 55.0, 0.0, 1292.0, 1292.002, 3198.718, 3198.72, -0.02262, 0.00448, -0.0022, -330.0, -330.006, 669.2261, 669.22, -0.41605, 0.00773, 0.006104, 7.63e-06, 7.63e-06, 187.264, 187.264, 4.587588, 1.50e-20, 0.0, 0.0, 2.095456, 20.0, 2.095993, -0.08528, -0.08528, -0.00054, 2.095993, 0.0, 2000.0, 2013.0, 2013.0, 2013.0, -0.13764, -3.17222, -3.17222, -3.17222, 0.668577, 0.668577, 6.69e-06, -0.108, 0.035023, 3.949037, -7.86703, 0.0, 8.016517, 0.0, 7.132974, 0.0, -7.98348, 0.0, -3.09599, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 16.23661, 0.0, -3.09599, 0.0, 1.404007, 0.0, 189.355, 189.355
9.26e-18, 1045.714, 55.0, 0.0, 1292.0, 1292.002, 3198.718, 3198.72, 0.058924, 0.004424, -0.0022, -330.0, -330.001, 669.2261, 669.225, -0.19813, 0.005252, 0.001099, 7.63e-06, 7.63e-06, 187.264, 187.264, 4.809488, -1.4e-21, 0.0, 0.0, 1.886915, 20.0, 1.885986, -0.08424, -0.08424, 0.000928, 1.885986, 0.0, 2000.0, 2009.017, 2009.017, 2009.017, 0.05204, -3.88966, -3.88966, -3.88966, 0.727841, 0.727841, 7.28e-06, -0.11958, 0.013184, 4.23333, -7.85973, 0.0, 8.002397, 0.0, 7.140269, 0.0, -7.9976, 0.0, -2.88599, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 15.99308, 0.0, -2.88599, 0.0, 1.614014, 0.0, 189.15, 189.15
-6.6e-19, 1045.714, 55.0, 0.0, 1292.0, 1292.007, 3198.718, 3198.725, 0.075126, 0.003385, -0.00708, -330.0, -329.996, 669.2261, 669.23, 0.023741, 0.002812, -0.00385, 7.63e-06, 7.63e-06, 187.264, 187.264, 4.939033, 9.90e-23, 0.0, 0.0, 1.678373, 20.0, 1.675995, -0.0836, -0.0836, 0.002378, 1.675995, 0.0, 2000.0, 2001.43, 2001.43, 2001.43, 0.039394, -4.82232, -4.82232, -4.82232, 0.755193, 0.755193, 7.55e-06, -0.12771, 0.0059, 4.498542, -7.86146, 0.0, 7.977352, 0.0, 7.138543, 0.0, -8.02265, 0.0, -2.67599, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 15.71545, 0.0, -2.67599, 0.0, 1.824005, 0.0, 188.94, 188.94
4.11e-20, 1045.714, 55.0, 0.0, 1292.0, 1292.002, 3198.718, 3198.72, 0.056198, 0.004319, -0.0022, -330.0, -329.991, 669.2261, 669.23, 0.139825, 0.000332, -0.00885, 7.63e-06, 7.63e-06, 187.264, 187.264, 5.058261, -6.3e-24, 0.0, 0.0, 1.469831, 20.0, 1.465988, -0.08712, -0.08712, -0.00116, 1.465988, 0.0, 2000.0, 1996.119, 1996.119, 1996.119, 0.029911, -4.32012, -4.32012, -4.32012, 0.787104, 0.787104, 7.87e-06, -0.12647, -0.01391, 4.731663, -7.84427, 0.0, 7.96543, 0.0, 7.15573, 0.0, -8.03457, 0.0, -2.47099, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 15.45678, 0.0, -2.47099, 0.0, 2.029007, 0.0, 188.73, 188.73
-2.2e-21, 1045.714, 55.0, 0.0, 1292.0, 1291.997, 3198.718, 3198.715, -0.03373, 0.005343, 0.00293, -330.0, -329.991, 669.2261, 669.235, 0.149635, 0.000356, -0.00885, 7.63e-06, 7.63e-06, 187.264, 187.264, 5.16343, 3.47e-25, 0.0, 0.0, 1.26129, 20.0, 1.260986, -0.08626, -0.08626, 0.000304, 1.260986, 0.0, 2000.0, 2012.242, 2012.242, 2012.242, -0.19455, -2.09607, -2.09607, -2.09607, 0.821675, 0.821675, 8.22e-06, -0.15705, -0.04135, 4.917835, -7.8294, 0.0, 7.981057, 0.0, 7.170601, 0.0, -8.01894, 0.0, -2.26099, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 15.2335, 0.0, -2.26099, 0.0, 2.239014, 0.0, 188.52, 188.52
9.87e-23, 1045.714, 55.0, 0.0, 1292.0, 1291.997, 3198.718, 3198.715, -0.05561, 0.005358, 0.00293, -330.0, -329.996, 669.2261, 669.23, 0.004805, 0.00287, -0.00385, 7.63e-06, 7.63e-06, 187.264, 187.264, 5.331386, -1.6e-26, 0.0, 0.0, 1.052748, 20.0, 1.050995, -0.08432, -0.08432, 0.001753, 1.050995, 0.0, 2000.0, 2007.31, 2007.31, 2007.31, 0.042553, -1.59387, -1.59387, -1.59387, 0.870681, 0.870681, 8.71e-06, -0.18899, -0.02772, 5.073943, -7.83557, 0.0, 7.99935, 0.0, 7.164433, 0.0, -8.00065, 0.0, -2.05099, 0.0, 0.0, 0.0, 3715.0, 0.0, 1524.0, 0.0, 15.05357, 0.0, -2.05099, 0.0, 2.449005, 0.0, 188.315, 188.315
